RptDt,TckrSymb,ISIN,SgmtNm,MinPric,MaxPric,TradAvrgPric,LastPric,AdjstdQt,RefPric,TradQty,FinInstrmQty
2020-06-26,AFSN20,BRBMEFAFS0I5,FINANCIAL,,,,,17303.7,,,
2020-06-26,AFSQ20,BRBMEFAFS0J3,FINANCIAL,,,,,17368.3,,,
2020-06-26,AFSU20,BRBMEFAFS0K1,FINANCIAL,,,,,17420.9,,,
2020-06-26,ARBN20,BRBMEFARB0I0,FINANCIAL,,,,,77.385,,,
2020-06-26,ARBQ20,BRBMEFARB0J8,FINANCIAL,,,,,73.466,,,
2020-06-26,ARBU20,BRBMEFARB0K6,FINANCIAL,,,,,70.017,,,
2020-06-26,ARSN20,BRBMEFARS078,FINANCIAL,,,,,70541.1,,,
2020-06-26,ARSQ20,BRBMEFARS086,FINANCIAL,,,,,74386.6,,,
2020-06-26,ARSU20,BRBMEFARS094,FINANCIAL,,,,,78124.9,,,
2020-06-26,AUDN20,BRBMEFAUD3D8,FINANCIAL,3730,3730,3730,3730,3747.806,,1,4
2020-06-26,AUDQ20,BRBMEFAUD3E6,FINANCIAL,3731,3731,3731,3731,3752.627,,1,4
2020-06-26,AUDU20,BRBMEFAUD3F3,FINANCIAL,,,,,3756.32,,,
2020-06-26,AUSN20,BRBMEFAUS0I6,FINANCIAL,684.7,686.9,686.05,686.9,686.56,,5,54
2020-06-26,AUSQ20,BRBMEFAUS0J4,FINANCIAL,686,686.8,686.77,686.8,686.677,,2,748
2020-06-26,AUSU20,BRBMEFAUS0K2,FINANCIAL,,,,,686.701,,,
2020-06-26,B3SAON20,BRB3SA370015,FINANCIAL,53,54.68,54.05,53.1,53.52,,32,6900
2020-06-26,B3SAOQ20,BRB3SA380014,FINANCIAL,54.08,54.5,54.22,54.08,53.6,,3,900
2020-06-26,BGIK21,BRBMEFBGI5P9,AGRIBUSINESS,210,210,210,210,206.45,,2,10
2020-06-26,BGIM20,BRBMEFBGI5K0,AGRIBUSINESS,217.65,218,217.8,217.7,217.7,,27,173
2020-06-26,BGIN20,BRBMEFBGI5L8,AGRIBUSINESS,217,220,218.53,217.7,217.5,,204,852
2020-06-26,BGIQ20,BRBMEFBGI5J2,AGRIBUSINESS,215,217,215.73,215,214.8,,5,18
2020-06-26,BGIU20,BRBMEFBGI5M6,AGRIBUSINESS,215,216.1,215.82,215,215.3,,14,38
2020-06-26,BGIV20,BRBMEFBGI5F0,AGRIBUSINESS,215,217.8,216.22,215.7,215.25,,468,1275
2020-06-26,BGIX20,BRBMEFBGI5N4,AGRIBUSINESS,215,218,216.93,215.35,214.8,,29,86
2020-06-26,BGIZ20,BRBMEFBGI5O2,AGRIBUSINESS,,,,,216.1,,,
2020-06-26,BRIQ20,BRBMEFBRI2U3,FINANCIAL,15338,15493,15390,15338,15356,,3,44
2020-06-26,BRIV20,BRBMEFBRI2V1,FINANCIAL,,,,,15398,,,
2020-06-26,CADN20,BRBMEFCAD3C2,FINANCIAL,3976,3976,3976,3976,3996.871,,2,7
2020-06-26,CADQ20,BRBMEFCAD3D0,FINANCIAL,3977,3985,3978.142,3985,4001.7,,2,7
2020-06-26,CADU20,BRBMEFCAD3E8,FINANCIAL,,,,,4005.698,,,
2020-06-26,CANN20,BRBMEFCAN0I3,FINANCIAL,1365.4,1370.3,1366.38,1365.4,1365.774,,3,50
2020-06-26,CANQ20,BRBMEFCAN0J1,FINANCIAL,1365.3,1365.4,1365.35,1365.3,1365.647,,2,1335
2020-06-26,CANU20,BRBMEFCAN0K9,FINANCIAL,,,,,1365.578,,,
2020-06-26,CCMF21,BRBMEFCCP247,AGRIBUSINESS,49,49.1,49.08,49,49.13,,6,134
2020-06-26,CCMH21,BRBMEFCCP254,AGRIBUSINESS,48,48,48,48,47.7,,3,3
2020-06-26,CCMK21,BRBMEFCCP270,AGRIBUSINESS,,,,,46.45,,,
2020-06-26,CCMN20,BRBMEFCCP1X6,AGRIBUSINESS,46.15,46.66,46.5,46.45,46.55,,209,468
2020-06-26,CCMN21,BRBMEFCCP288,AGRIBUSINESS,,,,,44.25,,,
2020-06-26,CCMU20,BRBMEFCCP1Y4,AGRIBUSINESS,43.83,44.7,44.51,44.5,44.47,,1056,2202
2020-06-26,CCMU21,BRBMEFCCP262,AGRIBUSINESS,,,,,43.7,,,
2020-06-26,CCMX20,BRBMEFCCP239,AGRIBUSINESS,46.23,47.2,46.95,46.75,46.75,,299,598
2020-06-26,CCROON20,BRCCRO370014,FINANCIAL,14.92,15.34,15.12,14.92,14.82,,12,8500
2020-06-26,CCROOQ20,BRCCRO380013,FINANCIAL,15.01,15.22,15.03,15.01,14.84,,2,800
2020-06-26,CHFN20,BRBMEFCHF2Y9,FINANCIAL,5730,5730,5730,5730,5761.29,,2,4
2020-06-26,CHFQ20,BRBMEFCHF2Z6,FINANCIAL,5736,5740.5,5738.25,5740.5,5773.806,,2,4
2020-06-26,CHFU20,BRBMEFCHF304,FINANCIAL,,,,,5784.172,,,
2020-06-26,CHLN20,BRBMEFCHL0I8,FINANCIAL,,,,,819375,,,
2020-06-26,CHLQ20,BRBMEFCHL0J6,FINANCIAL,,,,,818851.4,,,
2020-06-26,CHLU20,BRBMEFCHL0K4,FINANCIAL,,,,,818433.3,,,
2020-06-26,CIELON20,BRCIEL370016,FINANCIAL,4.58,4.76,4.62,4.58,4.61,,6,24000
2020-06-26,CIELOQ20,BRCIEL380015,FINANCIAL,4.55,4.75,4.6,4.55,4.58,,6,11300
2020-06-26,CLPN20,BRBMEFCLP2Y1,FINANCIAL,,,,,6662.1,,,
2020-06-26,CLPQ20,BRBMEFCLP2Z8,FINANCIAL,,,,,6673.8,,,
2020-06-26,CLPU20,BRBMEFCLP305,FINANCIAL,,,,,6683.6,,,
2020-06-26,CMIGPN20,BRCMIG470011,FINANCIAL,10.7,11.03,10.9,10.71,10.61,,12,11600
2020-06-26,CMIGPQ20,BRCMIG480010,FINANCIAL,10.77,10.95,10.87,10.77,10.63,,5,4900
2020-06-26,CNHN20,BRBMEFCNH0I6,FINANCIAL,,,,,7087.25,,,
2020-06-26,CNHQ20,BRBMEFCNH0J4,FINANCIAL,,,,,7099.39,,,
2020-06-26,CNHU20,BRBMEFCNH0K2,FINANCIAL,,,,,7110.469,,,
2020-06-26,CNYN20,BRBMEFCNY2Y8,FINANCIAL,,,,,7705.47,,,
2020-06-26,CNYQ20,BRBMEFCNY2Z5,FINANCIAL,,,,,7697.556,,,
2020-06-26,CNYU20,BRBMEFCNY303,FINANCIAL,,,,,7692.501,,,
2020-06-26,COGNON20,BRCOGN370006,FINANCIAL,6.3,6.58,6.42,6.37,6.37,,18,21500
2020-06-26,COGNOQ20,BRCOGN380005,FINANCIAL,6.45,6.63,6.52,6.53,6.38,,35,49700
2020-06-26,DAPF21,BRBMEFDAP2R7,FINANCIAL,-0.88,-0.88,-0.88,-0.88,100492.26,,11,1675
2020-06-26,DAPF22,BRBMEFDAP322,FINANCIAL,,,,,100202.56,,,
2020-06-26,DAPK21,BRBMEFDAP1K4,FINANCIAL,-0.66,-0.59,-0.59,-0.59,100576.14,,7,1640
2020-06-26,DAPK23,BRBMEFDAP1G2,FINANCIAL,1,1.03,1.02,1,97185.57,,7,760
2020-06-26,DAPK25,BRBMEFDAP330,FINANCIAL,2.2,2.2,2.2,2.2,89954.03,,9,835
2020-06-26,DAPK35,BRBMEFDAP2L0,FINANCIAL,,,,,53705.43,,,
2020-06-26,DAPN20,BRBMEFDAP363,FINANCIAL,,,,,100043.53,,,
2020-06-26,DAPQ20,BRBMEFDAP0Z4,FINANCIAL,-1.5,-1.5,-1.5,-1.5,100216.14,,8,1395
2020-06-26,DAPQ22,BRBMEFDAP116,FINANCIAL,0.57,0.63,0.58,0.57,98796.11,,14,1820
2020-06-26,DAPQ24,BRBMEFDAP1F4,FINANCIAL,1.78,1.78,1.78,1.78,92983.87,,18,1830
2020-06-26,DAPQ26,BRBMEFDAP1L2,FINANCIAL,2.6,2.66,2.64,2.6,85192.99,,20,3020
2020-06-26,DAPQ28,BRBMEFDAP280,FINANCIAL,3.15,3.17,3.16,3.15,77749.23,,8,1020
2020-06-26,DAPQ30,BRBMEFDAP1E7,FINANCIAL,3.52,3.52,3.52,3.52,70443.87,,1,20
2020-06-26,DAPU20,BRBMEFDAP371,FINANCIAL,,,,,100080.18,,,
2020-06-26,DCOF21,BRBMEFDCO0Q2,FINANCIAL,,,,,101896.64,,,
2020-06-26,DCOF22,BRBMEFDCO0R0,FINANCIAL,,,,,100715.53,,,
2020-06-26,DCOF23,BRBMEFDCO0S8,FINANCIAL,,,,,99542.11,,,
2020-06-26,DCOF24,BRBMEFDCO0T6,FINANCIAL,,,,,98212.13,,,
2020-06-26,DCOF25,BRBMEFDCO0U4,FINANCIAL,,,,,96333.11,,,
2020-06-26,DCOF26,BRBMEFDCO156,FINANCIAL,,,,,94596.64,,,
2020-06-26,DCOF27,BRBMEFDCO1S6,FINANCIAL,,,,,92245.23,,,
2020-06-26,DCOF28,BRBMEFDCO1P2,FINANCIAL,,,,,90099.83,,,
2020-06-26,DCOF29,BRBMEFDCO1R8,FINANCIAL,,,,,87849.45,,,
2020-06-26,DCOF30,BRBMEFDCO1Q0,FINANCIAL,,,,,85754.22,,,
2020-06-26,DCOF31,BRBMEFDCO313,FINANCIAL,,,,,84111.48,,,
2020-06-26,DCOF33,BRBMEFDCO3D4,FINANCIAL,,,,,80636.38,,,
2020-06-26,DCOF35,BRBMEFDCO3C6,FINANCIAL,,,,,76893.31,,,
2020-06-26,DCOG21,BRBMEFDCO3E2,FINANCIAL,,,,,101785.2,,,
2020-06-26,DCOH21,BRBMEFDCO3F9,FINANCIAL,,,,,101688.25,,,
2020-06-26,DCOJ21,BRBMEFDCO214,FINANCIAL,,,,,101598.4,,,
2020-06-26,DCOJ22,BRBMEFDCO2B0,FINANCIAL,,,,,100431.18,,,
2020-06-26,DCOJ23,BRBMEFDCO2P0,FINANCIAL,,,,,99164.54,,,
2020-06-26,DCOJ24,BRBMEFDCO354,FINANCIAL,,,,,97832.73,,,
2020-06-26,DCOJ25,BRBMEFDCO3G7,FINANCIAL,,,,,95964.68,,,
2020-06-26,DCOK21,BRBMEFDCO3H5,FINANCIAL,,,,,101490.5,,,
2020-06-26,DCOM21,BRBMEFDCO3I3,FINANCIAL,,,,,101407.88,,,
2020-06-26,DCON20,BRBMEFDCO107,FINANCIAL,,,,,102416.02,,,
2020-06-26,DCON21,BRBMEFDCO115,FINANCIAL,,,,,101333.09,,,
2020-06-26,DCON22,BRBMEFDCO2D6,FINANCIAL,,,,,100163.6,,,
2020-06-26,DCON23,BRBMEFDCO2H7,FINANCIAL,,,,,98939.97,,,
2020-06-26,DCON24,BRBMEFDCO2G9,FINANCIAL,,,,,97305.5,,,
2020-06-26,DCON25,BRBMEFDCO2U0,FINANCIAL,,,,,95576.38,,,
